song,artist,cluster
Hey Girl,Donny Osmond,3
Go Away Little Girl,Donny Osmond,4
Puppy Love,Donny Osmond,7
Too Young,Donny Osmond,2
Why,Donny Osmond,4
Lonely Boy,Donny Osmond,2
The Twelfth Of Never,Donny Osmond,4
Young Love,Donny Osmond,4
Paper Roses,Marie Osmond,6
I'm Leaving It (All) Up To You,Donny Osmond,6
I'm Leaving It (All) Up To You,Marie Osmond,6
Morning Side Of The Mountain,Donny Osmond,4
Morning Side Of The Mountain,Marie Osmond,4
Who's Sorry Now,Marie Osmond,4
Deep Purple,Donny Osmond,4
Deep Purple,Marie Osmond,4
Son Of My Father,Chicory Tip,1
Good Grief Christina,Chicory Tip,6
The Night Chicago Died,Paper Lace,1
Billy Don’t Be A Hero,Paper Lace,1
Stumblin' In - 2017 Remaster,Suzi Quatro,6
Stumblin' In - 2017 Remaster,Chris Norman,6
Rock Hard,Suzi Quatro,7
Lipstick,Suzi Quatro,6
When I Need You - Remastered,Leo Sayer,4
You Make Me Feel Like Dancing - Remastered,Leo Sayer,5
More Than I Can Say - Remastered,Leo Sayer,6
Africa,TOTO,6
Hold the Line,TOTO,5
Rosanna,TOTO,5
Can't Fight This Feeling,REO Speedwagon,7
Time for Me to Fly,REO Speedwagon,1
Roll with the Changes,REO Speedwagon,7
Ridin' the Storm Out,REO Speedwagon,5
Keep Pushin',REO Speedwagon,5
Don't Let Him Go,REO Speedwagon,6
Keep on Loving You,REO Speedwagon,7
Follow My Heart,REO Speedwagon,5
In Your Letter,REO Speedwagon,6
Take It On the Run,REO Speedwagon,7
Tough Guys,REO Speedwagon,1
Out of Season,REO Speedwagon,2
I Wish You Were There,REO Speedwagon,4
Take Me Home Tonight,Eddie Money,1
Two Tickets to Paradise (2022 Remaster),Eddie Money,1
Baby Hold On (2022 Remaster),Eddie Money,1
Think I'm In Love,Eddie Money,1
Shakin',Eddie Money,6
Gimme Some Water,Eddie Money,1
Build Me Up Buttercup,The Foundations,1
Baby Now That I've Found You - Mono,The Foundations,1
Young Girl,Gary Puckett & The Union Gap,2
"Woman, Woman",Gary Puckett & The Union Gap,3
Lady Willpower,Gary Puckett & The Union Gap,1
Over You,Gary Puckett & The Union Gap,4
This Girl Is a Woman Now,Gary Puckett & The Union Gap,4
No Milk Today,Herman's Hermits,6
I'm Into Something Good,Herman's Hermits,1
There's A Kind Of Hush,Herman's Hermits,1
Can't You Hear My Heartbeat,Herman's Hermits,6
"Mrs. Brown, You've Got A Lovely Daughter",Herman's Hermits,1
Silhouettes,Herman's Hermits,6
"Henry The VIII, I Am",Herman's Hermits,6
( What A) Wonderful World,Herman's Hermits,1
A Must To Avoid,Herman's Hermits,1
Stayin' Alive,Bee Gees,5
"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,5
You Should Be Dancing,Bee Gees,1
More Than A Woman,Bee Gees,2
Tragedy,Bee Gees,1
To Love Somebody,Bee Gees,4
Words,Bee Gees,4
Lonely Days,Bee Gees,2
How Can You Mend A Broken Heart,Bee Gees,4
(Our Love) Don't Throw It All Away,Bee Gees,7
Massachusetts,Bee Gees,6
I've Gotta Get A Message To You,Bee Gees,6
Jive Talkin',Bee Gees,1
Love So Right,Bee Gees,7
Love You Inside Out,Bee Gees,5
New York Mining Disaster 1941,Bee Gees,3
Holiday,Bee Gees,3
Nights On Broadway,Bee Gees,2
Fanny (Be Tender With My Love),Bee Gees,1
If I Can't Have You,Bee Gees,5
Guilty,Barbra Streisand,1
Guilty,Barry Gibb,1
I Can't See Nobody,Bee Gees,4
My World,Bee Gees,4
Edge Of The Universe,Bee Gees,1
Run To Me,Bee Gees,4
"Emotion - New ""Edit"" Version",Bee Gees,5
Heartbreaker - New Version,Bee Gees,6
Wind Of Change,Bee Gees,5
Arthur's Theme (Best That You Can Do),Christopher Cross,6
Ride Like the Wind,Christopher Cross,5
Think of Laura,Christopher Cross,4
Never Be the Same,Christopher Cross,6
Say You'll Be Mine,Christopher Cross,1
Poor Shirley,Christopher Cross,4
I Really Don't Know Anymore,Christopher Cross,1
Minstrel Gigolo,Christopher Cross,1
Arizona,Mark Lindsay,1
Silver Bird,Mark Lindsay,4
Come Saturday Morning,The Sandpipers,7
Nice to Be with You,Gallery,6
Don't Pull Your Love,"Hamilton, Joe Frank & Reynolds",6
Fallin' in Love,Hamilton,3
Fallin' in Love,Joe Frank,3
Fallin' in Love,Reynolds,3
"Julie, Do Ya Love Me",Bobby Sherman,4
"Easy Come, Easy Go",Bobby Sherman,1
Little Woman,Bobby Sherman,4
La La La (If I Had You),Bobby Sherman,2
Hitchin' a Ride,Vanity Fare,1
Early In The Morning,Vanity Fare,5
Precious and Few,Climax,7
Shannon,Henry Gross,4
Rock Me Gently,Andy Kim,1
"Baby, I Love You",The Ronettes,1
Sad Eyes - Remastered 2002,Robert John,1
The Lion Sleeps Tonight,Robert John,4
Hey There Lonely Girl,Eddie Holman,4
Moonlight Feels Right,Starbuck,6
Still the One,Orleans,1
You Are the Woman,Firefall,1
Strange Way,Firefall,1
Love Will Find A Way,Pablo Cruise,6
Whatcha Gonna Do?,Pablo Cruise,1
Summer Breeze,Seals and Crofts,4
Get Closer,Seals and Crofts,1
I'll Play for You,Seals and Crofts,4
We May Never Pass This Way (Again),Seals and Crofts,7
Diamond Girl,Seals and Crofts,3
Hummingbird,Seals and Crofts,3
King of Nothing,Seals and Crofts,6
Castles In the Sand,Seals and Crofts,5
When I Meet Them,Seals and Crofts,1
East of Ginger Trees,Seals and Crofts,4
Ruby Jean and Billie Lee,Seals and Crofts,4
Love Is Alive,Gary Wright,6
Let Out,Gary Wright,4
Can't Find the Judge,Gary Wright,5
Made to Love You,Gary Wright,4
Power of Love,Gary Wright,6
Blind Feeling,Gary Wright,5
Much Higher,Gary Wright,6
Feel for Me,Gary Wright,4
Sentimental Lady,Bob Welch,4
Hypnotized,Fleetwood Mac,3
Emerald Eyes,Fleetwood Mac,3
How Long (Has This Been Going On) [Live],Ambrosia,3
Sad Eyes (Sunset Sound Mix),Ambrosia,4
Reminiscing - Remastered,Little River Band,4
Lonesome Loser - Remastered 2010,Little River Band,1
Lady - 2010 Digital Remaster,Little River Band,4
Help Is On Its Way - 2010 Digital Remaster,Little River Band,6
Cool Change - Remastered 2010,Little River Band,4
I Go Crazy,Paul Davis,3
Cool Night,Paul Davis,3
Sweet Life,Paul Davis,1
'65 Love Affair - Single Version,Paul Davis,5
Longer,Dan Fogelberg,4
Same Old Lang Syne,Dan Fogelberg,4
It's Sad to Belong - Single Version,England Dan & John Ford Coley,4
We'll Never Have to Say Goodbye Again - Single Version,England Dan & John Ford Coley,1
Love Is the Answer - Single Version,England Dan & John Ford Coley,7
Nights Are Forever Without You,England Dan & John Ford Coley,4
Danny's Song,Loggins & Messina,3
Your Mama Don't Dance,Loggins & Messina,1
Angry Eyes,Loggins & Messina,7
House at Pooh Corner,Loggins & Messina,7
My Music,Loggins & Messina,6
Save It For A Rainy Day,Stephen Bishop,6
Everyone's Gone to the Moon,Jonathan King,4
Bad Romance,Lady Gaga,1
Poker Face,Lady Gaga,1
Call Me Maybe,Carly Rae Jepsen,6
The Sound of Silence,Nouela,3
The Rapper,The Jaggerz,2
Play That Funky Music,Wild Cherry,6
Ah! Leah!,Donnie Iris,6
Green-Eyed Lady,Sugarloaf,6
"Don't Call Us, We'll Call You (Re-Recorded / Remastered)",Sugarloaf,1
Ride Captain Ride,Blues Image,1
Vehicle,The Ides Of March,5
Do You Know What I Mean,Lee Michaels,1
Joy To The World,Three Dog Night,1
Mama Told Me (Not To Come) - Single Version,Three Dog Night,1
One - Single Version,Three Dog Night,3
Shambala - Single Version,Three Dog Night,2
Never Been To Spain - Single Version,Three Dog Night,4
An Old Fashioned Love Song,Three Dog Night,6
The Show Must Go On,Three Dog Night,1
Out In The Country,Three Dog Night,6
Try A Little Tenderness - Single Version,Three Dog Night,7
Easy To Be Hard - Single Version,Three Dog Night,4
Eli's Coming - Single Version,Three Dog Night,3
Celebrate - Single Version,Three Dog Night,7
One Man Band,Three Dog Night,6
Liar - Single Version,Three Dog Night,5
The Family Of Man - Single Version,Three Dog Night,1
Black And White - Single Version,Three Dog Night,6
Pieces Of April - Single Version,Three Dog Night,4
Let Me Serenade You - Single Version,Three Dog Night,6
Sure As I'm Sittin' Here - Single Version,Three Dog Night,1
Play Something Sweet (Brickyard Blues) - Single Version,Three Dog Night,6
Roses And Rainbows,Danny Hutton,6
Feeling Alright,Three Dog Night,6
Wordy Rappinghood,Tom Tom Club,5
Love To Love You Baby,Donna Summer,7
Last Dance - Single Version,Donna Summer,7
Hot Stuff,Donna Summer,1
She Works Hard For The Money,Donna Summer,5
Bad Girls,Donna Summer,5
On The Radio,Donna Summer,5
I Feel Love,Donna Summer,8
MacArthur Park - Single Version,Donna Summer,5
No More Tears (Enough Is Enough),Donna Summer,7
No More Tears (Enough Is Enough),Barbra Streisand,7
I Will Survive - Single Version,Gloria Gaynor,1
Never Can Say Goodbye - Single Version,Gloria Gaynor,8
We Are Family - 1995 Remaster,Sister Sledge,5
He's the Greatest Dancer - 1995 Remaster,Sister Sledge,5
I'm So Excited,The Pointer Sisters,5
Jump (For My Love),The Pointer Sisters,2
Fire,The Pointer Sisters,1
He's so Shy,The Pointer Sisters,5
Slow Hand,The Pointer Sisters,6
Neutron Dance,The Pointer Sisters,6
Automatic,The Pointer Sisters,1
Disco Inferno - Single Edit,The Trammps,6
Y.M.C.A.,Village People,6
Macho Man,Village People,1
In The Navy,Village People,5
That's the Way (I Like It) - 2004 Remaster,KC & The Sunshine Band,5
I'm Your Boogie Man,KC & The Sunshine Band,5
Boogie Shoes - 2004 Remaster,KC & The Sunshine Band,1
Keep It Comin' Love,KC & The Sunshine Band,1
Get Down Tonight,KC & The Sunshine Band,6
"(Shake, Shake, Shake) Shake Your Booty",KC & The Sunshine Band,5
Please Don't Go - Single Version,KC & The Sunshine Band,6
Rock Your Baby,George McCrae,5
Le Freak,CHIC,6
Good Times,CHIC,1
Queen Of Hearts,Juice Newton,1
It's a Heartache,Bonnie Tyler,1
Total Eclipse of the Heart,Bonnie Tyler,7
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,5
Wild World,Yusuf / Cat Stevens,1
Father And Son,Yusuf / Cat Stevens,4
Morning Has Broken,Yusuf / Cat Stevens,4
Peace Train,Yusuf / Cat Stevens,1
Moonshadow,Yusuf / Cat Stevens,4
"If You Want To Sing Out, Sing Out",Yusuf / Cat Stevens,1
Where Do The Children Play?,Yusuf / Cat Stevens,4
The Wind,Yusuf / Cat Stevens,4
Oh Very Young,Yusuf / Cat Stevens,6
Sitting,Yusuf / Cat Stevens,5
Rubylove,Yusuf / Cat Stevens,1
How Can I Tell You,Yusuf / Cat Stevens,4
Tuesday's Dead,Yusuf / Cat Stevens,1
Bitterblue,Yusuf / Cat Stevens,6
Hard Headed Woman,Yusuf / Cat Stevens,4
Another Saturday Night,Yusuf / Cat Stevens,6
Heaven Is A Place On Earth,Belinda Carlisle,1
Circle In The Sand,Belinda Carlisle,5
Mad About You,Belinda Carlisle,6
Self Control,Laura Branigan,5
Gloria,Laura Branigan,6
Power of Love,Laura Branigan,7
How Am I Supposed to Live without You,Laura Branigan,4
The Power of Love,Jennifer Rush,7
Eternal Flame,The Bangles,4
Walk Like an Egyptian,The Bangles,6
Manic Monday,The Bangles,1
Hazy Shade of Winter,The Bangles,5
If She Knew What She Wants,The Bangles,6
Complicated Girl,The Bangles,6
Bell Jar,The Bangles,1
September Gurls,The Bangles,1
Hero Takes a Fall - Single Remix,The Bangles,6
James,The Bangles,6
Live,The Bangles,6
What's Love Got to Do with It,Tina Turner,1
We Don't Need Another Hero (Thunderdome),Tina Turner,5
Private Dancer - 2015 Remaster,Tina Turner,7
Better Be Good to Me - 2015 Remaster,Tina Turner,6
River Deep - Mountain High - Remastered Version 1991,Ike & Tina Turner,4
Kids In America,Kim Wilde,7
You Keep Me Hangin On,Kim Wilde,5
Flashdance... What A Feeling,Irene Cara,5
Right Here Waiting,Richard Marx,4
Are You Gonna Be My Girl,Jet,1
Look What You've Done,Jet,4
Cold Hard Bitch,Jet,7
"Steady, As She Goes",The Raconteurs,6
Chelsea Dagger,The Fratellis,7
Whistle For The Choir,The Fratellis,1
Henrietta,The Fratellis,5
Creepin Up The Backstairs - Composite Edit (do not put on a/w),The Fratellis,0
Starcrossed Losers,The Fratellis,5
Stand up Tragedy,The Fratellis,1
Sugartown,The Fratellis,1
Flathead,The Fratellis,1
Tell Me Honey,Jon Fratelli,2
Daddy Won't Pay Your Bill,Jon Fratelli,7
Santo Domingo,Jon Fratelli,5
Rhythm Doesn’t Make You A Dancer,Jon Fratelli,5
The Band Played Just For Me,Jon Fratelli,7
Magic & Mayhem,Jon Fratelli,1
She's My Shaker,Jon Fratelli,7
Cavemen,Jon Fratelli,7
"Baby, We're Refugees!",Jon Fratelli,1
Oh Shangri La,Jon Fratelli,7
Give My Heart Back MacGuire,Jon Fratelli,1
Told You So,The Fratellis,7
I've Been Blind,The Fratellis,6
Laughing Gas,The Fratellis,6
Advaita Shuffle,The Fratellis,7
I Guess… I Suppose...,The Fratellis,6
Indestructible,The Fratellis,6
I Am That,The Fratellis,7
Me and the Devil,The Fratellis,7
Imposters (Little by Little),The Fratellis,7
Baby Don't You Lie to Me!,The Fratellis,5
Desperate Guy,The Fratellis,6
Thief,The Fratellis,1
Dogtown,The Fratellis,5
Rosanna,The Fratellis,5
Slow,The Fratellis,7
Getting Surreal,The Fratellis,2
Too Much Wine,The Fratellis,7
Moonshine,The Fratellis,4
Down the Road and Back... Again...,The Fratellis,7
Medusa in Chains,The Fratellis,1
Boy Scout to the End,The Fratellis,6
I'm Gonna Be Your Elvis,The Fratellis,1
I Know Your Kind,The Fratellis,7
Halloween Blues,The Fratellis,7
This Old Ghost Town,The Fratellis,7
She's Not Gone Yet But She's Leaving,The Fratellis,5
Seven Nights Seven Days,The Fratellis,1
Shotgun Shoes,The Fratellis,6
Whisky Saga,The Fratellis,7
This Is Not the End of the World,The Fratellis,6
Jeannie Nitro,The Fratellis,5
Until She Saves My Soul,The Fratellis,7
My Friend John,The Fratellis,5
A Heady Tale,The Fratellis,1
Shameless,The Fratellis,7
Stragglers Moon,The Fratellis,6
Look Out Sunshine!,The Fratellis,6
Mistress Mabel,The Fratellis,7
Acid Jazz Singer,The Fratellis,6
Lupe Brown,The Fratellis,5
The Gutterati?,The Fratellis,7
For The Girl,The Fratellis,6
Vince The Loveable Stoner,The Fratellis,7
Everybody Knows You Cried Last Night,The Fratellis,6
Baby Fratelli,The Fratellis,7
The Look,Roxette,1
Listen To Your Heart,Roxette,5
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,1
Spending My Time,Roxette,7
The Sign,Ace of Base,5
All That She Wants,Ace of Base,6
Beautiful Life,Ace of Base,5
Don't Turn Around,Ace of Base,5
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,5
Takin' Care Of Business,Bachman-Turner Overdrive,6
Let It Ride,Bachman-Turner Overdrive,5
Roll On Down The Highway,Bachman-Turner Overdrive,6
Dream Me Home,Mac Davis,6
Baby Don't Get Hooked on Me,Mac Davis,4
It's Hard to Be Humble,Mac Davis,7
Texas In My Rear View Mirror,Mac Davis,1
Stop And Smell The Roses,Mac Davis,1
One Hell Of A Woman,Mac Davis,6
Rock 'N Roll (I Gave You The Best Years Of My Life) (Bonus Track),Mac Davis,1
Forever Lovers,Mac Davis,4
Every Now And Then,Mac Davis,3
"Whoever Finds This, I Love You",Mac Davis,4
"Friend, Lover, Woman, Wife",Mac Davis,6
Everybody Loves A Love Song,Mac Davis,4
Naughty Girl,Mac Davis,1
Spread Your Love On Me,Mac Davis,1
Poor Boy Boogie,Mac Davis,0
The Words (Don't Come Easy),Mac Davis,4
Drive - 2017 Remaster,The Cars,7
Just What I Needed,The Cars,1
My Best Friend's Girl,The Cars,1
Good Times Roll,The Cars,1
You Might Think,The Cars,1
Let's Go,The Cars,1
Moving in Stereo,The Cars,1
Bye Bye Love,The Cars,1
Magic - 2017 Remaster,The Cars,6
Shake It Up - 2017 Remaster,The Cars,1
It's All I Can Do - 2016 Remaster,The Cars,6
Dangerous Type,The Cars,5
Touch and Go,The Cars,1
Since You're Gone - 2017 Remaster,The Cars,1
Honey,Bobby Goldsboro,4
Little Green Apples,Bobby Goldsboro,3
Summer (The First Time),Bobby Goldsboro,4
And I Love You So,Bobby Goldsboro,4
Autumn of My Life,Bobby Goldsboro,4
The Straight Life,Bobby Goldsboro,1
A Butterfly for Bucky,Bobby Goldsboro,3
It's Too Late,Bobby Goldsboro,1
Muddy Mississippi Line,Bobby Goldsboro,6
Little Things,Bobby Goldsboro,1
The Cowboy and the Lady,Bobby Goldsboro,4
I'm a Drifter,Bobby Goldsboro,1
With Pen in Hand,Bobby Goldsboro,4
Water Color Days,Bobby Goldsboro,4
Take Me Out,Franz Ferdinand,7
Aqualung,Jethro Tull,5
Locomotive Breath,Jethro Tull,3
Cross-Eyed Mary,Jethro Tull,1
Bourée,Jethro Tull,8
Really Don't Mind / See There a Son Is Born - Steven Wilson Stereo Remix,Jethro Tull,7
Teacher - Single Mix; 2001 Remaster,Jethro Tull,5
Thick as a Brick - Edit #1; 2001 Remaster,Jethro Tull,1
Nothing Is Easy,Jethro Tull,5
Living in the Past - 2001 Remaster,Jethro Tull,1
Skating Away on the Thin Ice of the New Day - 2002 Remaster,Jethro Tull,7
Band On The Run - Remastered 2010,Wings,7
Jet - Remastered 2010,Wings,6
Bluebird - Remastered 2010,Wings,3
Mrs. Vandebilt - Remastered 2010,Wings,6
Let Me Roll It - Remastered 2010,Wings,7
Mamunia - Remastered 2010,Wings,4
No Words - Remastered 2010,Wings,6
Picasso’s Last Words (Drink To Me) - Remastered 2010,Wings,4
Nineteen Hundred And Eighty Five - Remastered 2010,Wings,8
Helen Wheels - Remastered 2010,Wings,6
Arrow Through Me - Remastered 1993,Wings,1
Rockestra Theme - Remastered 1993,Wings,8
With A Little Luck - Remastered 1993,Wings,3
Let 'Em In - 2014 Remaster,Wings,6
Silly Love Songs - 2014 Remaster,Wings,1
Venus And Mars - 1993 Digital Remaster,Wings,2
Rock Show - 1993 Digital Remaster,Wings,7
You Gave Me The Answer - 1993 Digital Remaster,Wings,4
Junior’s Farm - 2014 Remaster,Wings,1
Sally G - Remastered 2014,Wings,6
Walking In The Park With Eloise - Remastered 2014,Wings,8
Live And Let Die - Remastered 1993,Wings,7
With A Little Luck - Remastered 1993,Wings,3
Hi Hi Hi - Remastered 1993,Wings,5
Season of the Witch,Donovan,1
Hurdy Gurdy Man,Donovan,1
Sunshine Superman,Donovan,1
Mellow Yellow,Donovan,1
Atlantis,Donovan,4
Catch the Wind,Donovan,4
Colours,Donovan,1
Jennifer Juniper,Donovan,2
Wear Your Love Like Heaven,Donovan,5
I'll Play The Fool - Digitally Mastered - August 1988,Dr. Buzzard's Original Savannah Band,6
Hard Times - Digitally Mastered - August 1988,Dr. Buzzard's Original Savannah Band,4
Cherchez la Femme / Se Si Bon,Dr. Buzzard's Original Savannah Band,1
Sunshower,Dr. Buzzard's Original Savannah Band,3
We Got It Made/Night And Day - Digitally Mastered - August 1988,Dr. Buzzard's Original Savannah Band,6
You've Got Something/Betcha' The Love Bug Bitcha - Digitally Mastered - August 1988,Dr. Buzzard's Original Savannah Band,3
Sour & Sweet/Lemon In The Honey - Digitally Mastered - August 1988,Dr. Buzzard's Original Savannah Band,1
Rock & Roll Band,Boston,1
Smokin',Boston,7
Hitch a Ride,Boston,7
Something About You,Boston,7
Let Me Take You Home Tonight,Boston,1
Don't Look Back,Boston,7
The Journey,Boston,4
It's Easy,Boston,7
A Man I'll Never Be,Boston,7
Feelin' Satisfied,Boston,1
Party,Boston,1
Used to Bad News,Boston,1
Don't Be Afraid,Boston,6
Amanda,Boston,4
We're Ready,Boston,4
The Launch A) Countdown B) Ignition C) Third Stage Separation,Boston,9
Cool The Engines,Boston,6
My Destination,Boston,4
A New World,Boston,9
To Be A Man,Boston,3
I Think I Like It,Boston,3
Can'tcha Say (You Believe In Me) / Still In Love,Boston,4
Hollyann,Boston,4
Be Still,The Fray,4
Gotta Serve Somebody,Bob Dylan,1
Hurricane,Bob Dylan,7
Tangled up in Blue,Bob Dylan,6
Simple Twist of Fate,Bob Dylan,4
You're a Big Girl Now,Bob Dylan,4
Idiot Wind,Bob Dylan,7
You're Gonna Make Me Lonesome When You Go,Bob Dylan,4
Meet Me in the Morning,Bob Dylan,6
"Lily, Rosemary and the Jack of Hearts",Bob Dylan,7
"If You See Her, Say Hello",Bob Dylan,4
Shelter from the Storm,Bob Dylan,4
Buckets of Rain,Bob Dylan,4
Forever Young - Slow Version,Bob Dylan,7
If Not for You,Bob Dylan,6
"Lay, Lady, Lay",Bob Dylan,3
Rainy Day Women #12 & 35,Bob Dylan,1
I Want You,Bob Dylan,1
Just Like a Woman,Bob Dylan,4
Like a Rolling Stone,Bob Dylan,1
Subterranean Homesick Blues,Bob Dylan,5
Maggie's Farm,Bob Dylan,7
Mr. Tambourine Man,Bob Dylan,4
It Ain't Me Babe,Bob Dylan,4
The Times They Are A-Changin',Bob Dylan,4
Blowin' in the Wind,Bob Dylan,4
"Don't Think Twice, It's All Right",Bob Dylan,4
Positively 4th Street - Single Version,Bob Dylan,4
I'll Be Your Baby Tonight,Bob Dylan,4
The Weight - Remastered 2000,The Band,6
Up On Cripple Creek - Remastered 2000,The Band,6
Brown Eyed Girl,Van Morrison,6
